,ngram,FR_term_frequency,EN_term_frequency,delta
3352,deformation,846411,714431,131980
3353,wiser,3760,714428,710668
3354,merciful,1002,714411,713409
3355,evaluating,15331,714323,698992
3356,persistence,15005,714083,699078
3357,augmented,4678,714071,709393
3358,beggar,4531,714028,709497
3359,hangs,2038,713615,711577
3360,388,345872,713340,367468
3361,assessments,8168,713298,705130
3362,excitation,1374110,713095,661015
3363,embarrassed,1435,712572,711137
3364,viewpoint,13590,712313,698723
3365,gerard,1592994,712279,880715
3366,lapse,6151,712272,706121
3367,dismiss,6246,712227,705981
3368,moonlight,2539,712216,709677
3369,bows,2028,712210,710182
3370,swollen,4228,712138,707910
3371,val,955248,712081,243167
3372,forcibly,2494,712037,709543
3373,reversal,7925,711897,703972
3374,woollen,2910,711743,708833
3375,handkerchief,989,711654,710665
3376,wonderfully,1314,711571,710257
3377,instruct,12103,711518,699415
3378,sterile,795878,711411,84467
3379,frenchman,5242,711392,706150
3380,tennis,164246,711331,547085
3381,alpine,168965,711262,542297
3382,landlords,18793,711248,692455
3383,genuinely,3255,710952,707697
3384,inverted,5868,710851,704983
3385,piles,535682,710799,175117
3386,dependency,13306,710579,697273
3387,expeditions,1065140,710300,354840
3388,impartial,312554,710287,397733
3389,fishermen,7649,710270,702621
3390,distal,83967,710261,626294
3391,exhaust,6088,710085,703997
3392,senator,20887,710036,689149
3393,1829,630211,709955,79744
3394,bullet,39668,709878,670210
3395,grapes,11188,709833,698645
3396,23rd,7598,709827,702229
3397,youths,3859,709753,705894
3398,delays,8400,709515,701115
3399,onward,3653,709292,705639
3400,430,377598,709261,331663
3401,wrist,4103,709250,705147
3402,janet,222566,709090,486524
3403,peat,16119,709005,692886
3404,appealing,3894,708806,704912
3405,transcription,709345,708779,566
3406,syntax,38259,708728,670469
3407,danced,1823,708480,706657
3408,secrecy,5956,708437,702481
3409,horrid,1565,708358,706793
3410,liabilities,8661,708176,699515
3411,titus,164397,708086,543689
3412,echoed,2111,707937,705826
3413,xxvii,357284,707898,350614
3414,mentioning,5330,707714,702384
3415,villain,50985,707406,656421
3416,superintendent,11701,707376,695675
3417,pact,24127,707240,683113
3418,thanked,1964,707175,705211
3419,eton,47792,707047,659255
3420,gill,57344,706916,649572
3421,negotiated,5722,706802,701080
3422,middleton,40114,706788,666674
3423,digging,4064,706609,702545
3424,attentive,655648,706575,50927
3425,unlawful,7568,706495,698927
3426,clearance,19378,706471,687093
3427,thyroid,12823,706286,693463
3428,hypertension,190589,706253,515664
3429,warmly,1762,706118,704356
3430,adversary,2761,706048,703287
3431,unexpectedly,2259,705940,703681
3432,estimating,17906,705795,687889
3433,exemplified,5474,705544,700070
3434,johnston,85964,705416,619452
3435,speedy,5289,705324,700035
3436,consuming,5738,705253,699515
3437,drake,58042,705172,647130
3438,patrons,1302608,704989,597619
3439,dreamed,2114,704819,702705
3440,quoting,4073,704773,700700
3441,sonnet,246084,704746,458662
3442,marrying,2856,704657,701801
3443,regretted,2370,704567,702197
3444,397,333233,704557,371324
3445,hunters,9115,704340,695225
3446,"30,000",213184,704321,491137
3447,nj,65465,704300,638835
3448,frontal,272412,704151,431739
3449,inequalities,10038,704005,693967
3450,container,32265,703970,671705
3451,brute,836079,703952,132127
3452,tidings,791,703852,703061
3453,alphabet,415222,703790,288568
3454,palms,5462,703782,698320
3455,shewed,1259,703683,702424
3456,bradford,42084,703390,661306
3457,submarine,15790,702581,686791
3458,trent,43694,702580,658886
3459,symmetrical,7249,702569,695320
3460,racism,11741,702538,690797
3461,naming,10112,702363,692251
3462,builders,11243,702118,690875
3463,weed,13060,702111,689051
3464,pools,24782,702071,677289
3465,downs,18118,701830,683712
3466,forster,127622,701803,574181
3467,mystic,6759,701647,694888
3468,391,315067,701568,386501
3469,camel,12473,701382,688909
3470,399,323291,701357,378066
3471,dreary,1222,701163,699941
3472,dwarf,6589,701018,694429
3473,speeds,6798,700907,694109
3474,sometime,3739,700864,697125
3475,irrational,6196,700858,694662
3476,halifax,120624,700814,580190
3477,als,1518279,700724,817555
3478,dreaming,5844,700724,694880
3479,calvin,558618,700431,141813
3480,frankfurt,152100,700378,548278
3481,parlour,1543,700185,698642
3482,calamity,2999,700153,697154
3483,annie,229749,700085,470336
3484,surgeons,16822,700015,683193
3485,superstitious,1394,699902,698508
3486,epidemic,10024,699893,689869
3487,abandonment,6305,699818,693513
3488,grasped,2923,699755,696832
3489,jenny,114731,699614,584883
3490,avoidance,8890,699609,690719
3491,profiles,87373,699548,612175
3492,rugged,2203,699505,697302
3493,404,320245,699505,379260
3494,jose,825412,699349,126063
3495,responding,5786,699244,693458
3496,sofa,41482,699221,657739
3497,sinful,1396,699079,697683
3498,11th,6215,698875,692660
3499,insists,5596,698870,693274
3500,herod,9636,698856,689220
3501,prologue,296566,698802,402236
3502,speculations,636298,698802,62504
3503,defenders,3151,698671,695520
3504,cologne,752207,698555,53652
3505,carbonic,2769,698344,695575
3506,harmful,7873,698338,690465
3507,disagreement,6936,698111,691175
3508,hutchinson,74552,698064,623512
3509,careers,9135,698044,688909
3510,bologna,104288,697974,593686
3511,costa,479609,697925,218316
3512,constitutions,896120,697760,198360
3513,acetic,4392,697679,693287
3514,unaware,3763,697522,693759
3515,balfour,89913,697459,607546
3516,erasmus,38363,697347,658984
3517,1821,593245,697340,104095
3518,ae,468299,697287,228988
3519,weaving,5763,697284,691521
3520,alternating,7542,697018,689476
3521,hydraulic,22731,696980,674249
3522,oracle,291898,696676,404778
3523,aboard,2997,696590,693593
3524,nova,275975,696586,420611
3525,nam,603451,696567,93116
3526,superseded,2809,696542,693733
3527,disappears,5656,696517,690861
3528,attractions,154188,696314,542126
3529,conclusive,22372,696206,673834
3530,technically,5326,696194,690868
3531,walton,33834,696178,662344
3532,anecdotes,428944,696133,267189
3533,organisational,7942,695981,688039
3534,innovative,12814,695797,682983
3535,botany,32529,695789,663260
3536,lett,99280,695626,596346
3537,narrowly,3074,695585,692511
3538,cherry,21790,695520,673730
3539,variants,28742,695390,666648
3540,boot,16609,695370,678761
3541,cervical,139328,695062,555734
3542,dealer,14795,694989,680194
3543,contrasting,7704,694935,687231
3544,fibrous,5567,694621,689054
3545,reinforce,5725,694514,688789
3546,plotted,11560,694011,682451
3547,negligible,11375,693894,682519
3548,morn,2770,693884,691114
3549,harp,5860,693800,687940
3550,caps,72618,693769,621151
3551,1827,606440,693628,87188
3552,liking,6865,693604,686739
3553,vibrations,752938,693551,59387
3554,dotted,5949,693496,687547
3555,wards,7837,693486,685649
3556,407,342034,693324,351290
3557,needles,4549,693189,688640
3558,bored,2665,693093,690428
3559,variously,3060,693034,689974
3560,bolt,4040,693008,688968
3561,provoke,4183,692742,688559
3562,kit,50095,692635,642540
3563,emissions,1060509,692595,367914
3564,desperately,1666,692530,690864
3565,alia,213365,692495,479130
3566,415,324792,692479,367687
3567,hardware,19080,692446,673366
3568,barrow,40235,692354,652119
3569,barker,43931,692279,648348
3570,heel,14707,692207,677500
3571,saudi,13645,692028,678383
3572,resorted,3617,692023,688406
3573,hierarchical,10780,691966,681186
3574,blues,70145,691743,621598
3575,elephants,259654,691732,432078
3576,hideous,1740,691592,689852
3577,aversion,439575,691581,252006
3578,friar,2667,691554,688887
3579,antwerp,13137,691532,678395
3580,laboratories,32760,691494,658734
3581,valiant,3791,691492,687701
3582,awaiting,3349,691395,688046
3583,disregard,5103,691348,686245
3584,flee,3532,691220,687688
3585,esp,162624,690824,528200
3586,vows,2223,690766,688543
3587,oecd,47265,690745,643480
3588,champagne,1099503,690730,408773
3589,protests,4387,690648,686261
3590,ns,382540,690532,307992
3591,1826,589747,690498,100751
3592,ordinances,7058,690430,683372
3593,6.1,134954,690378,555424
3594,criticized,5845,690376,684531
3595,frustration,194132,690206,496074
3596,chord,2915,690023,687108
3597,railroad,34923,689940,655017
3598,learners,4791,689847,685056
3599,440,385084,689793,304709
3600,1819,623179,689415,66236
3601,openings,6065,689328,683263
3602,brooke,30708,689123,658415
3603,ballads,5431,689123,683692
3604,dom,1097317,689105,408212
3605,rumours,1877,688270,686393
3606,serial,13656,688235,674579
3607,4.3,180007,688235,508228
3608,employs,9165,688214,679049
3609,deterioration,419335,687938,268603
3610,blades,8068,687866,679798
3611,collapsed,3753,687846,684093
3612,absurdity,2634,687702,685068
3613,sparta,6151,687645,681494
3614,spontaneously,5704,687644,681940
3615,progressively,11571,687511,675940
3616,startling,2237,687463,685226
3617,acknowledgment,3473,687444,683971
3618,sr,573396,687413,114017
3619,rejecting,4608,687343,682735
3620,glittering,1419,687333,685914
3621,alpha,218743,687317,468574
3622,raphael,666442,687291,20849
3623,piers,19916,686949,667033
3624,nests,3068,686931,683863
3625,xxviii,329126,686928,357802
3626,inertia,8063,686913,678850
3627,thailand,26208,686840,660632
3628,richards,67614,686758,619144
3629,fowl,6933,686612,679679
3630,afterward,1489,686550,685061
3631,fry,37182,686468,649286
3632,natal,560232,686417,126185
3633,singh,61210,686184,624974
3634,conquests,5426,686167,680741
3635,exhibiting,5316,686142,680826
3636,7s,22666,686086,663420
3637,1.4,245318,685804,440486
3638,warsaw,14702,685683,670981
3639,1818,632500,685530,53030
3640,1822,617254,685431,68177
3641,surround,3730,685418,681688
3642,externally,3249,685368,682119
3643,prima,403510,685354,281844
3644,tennyson,25439,685171,659732
3645,grecian,1775,685097,683322
3646,bathing,2983,685073,682090
3647,wight,36106,684861,648755
3648,crow,18158,684754,666596
3649,noblest,1557,684737,683180
3650,dash,13513,684457,670944
3651,bureaucratic,7117,684443,677326
3652,syllables,7423,684272,676849
3653,authenticity,7099,684006,676907
3654,eccentric,3545,683826,680281
3655,1600,313032,683573,370541
3656,fays,12818,683531,670713
3657,recognizing,7447,683475,676028
3658,394,300409,683294,382885
3659,diagonal,25131,683263,658132
3660,jaws,4517,683252,678735
3661,md,103128,683000,579872
3662,lieut,40932,682966,642034
3663,02,519875,682857,162982
3664,jolly,63067,682677,619610
3665,abrupt,79134,682609,603475
3666,wholesome,1843,682536,680693
3667,damascus,5520,682520,677000
3668,aromatic,6221,682512,676291
3669,ropes,3368,682479,679111
3670,swung,941,682407,681466
3671,tore,86234,682380,596146
3672,stead,13565,682348,668783
3673,bombs,3418,682346,678928
3674,bohemia,9154,682203,673049
3675,neurons,9322,682059,672737
3676,isa,63954,682006,618052
3677,1801,523347,681977,158630
3678,tiles,16607,681744,665137
3679,defendants,12523,681674,669151
3680,hannah,89043,681373,592330
3681,deception,508477,681330,172853
3682,capillary,10050,681245,671195
3683,grouping,10582,681211,670629
3684,knots,3247,681170,677923
3685,methodological,24246,680922,656676
3686,exemption,578461,680908,102447
3687,flights,5429,680680,675251
3688,rationale,19883,680680,660797
3689,blockade,10088,680677,670589
3690,proliferation,466500,680628,214128
3691,symbolism,14790,680619,665829
3692,scepticism,5989,680577,674588
3693,bidding,3089,680498,677409
3694,copious,1955,680156,678201
3695,layout,9410,680142,670732
3696,pretext,5900,679947,674047
3697,helmet,2679,679691,677012
3698,accomplishment,4972,679591,674619
3699,chancel,34790,679590,644800
3700,hazardous,4975,679510,674535
3701,masonry,5306,679413,674107
3702,workshops,11631,679155,667524
3703,assay,12965,679059,666094
3704,server,85587,678795,593208
3705,spleen,58351,678671,620320
3706,creeping,3661,678531,674870
3707,asserting,3954,678439,674485
3708,deities,3518,678278,674760
3709,originality,8538,678247,669709
3710,fide,128607,678132,549525
3711,floods,6857,678026,671169
3712,gram,166778,677926,511148
3713,narrower,4380,677837,673457
3714,prevails,5248,677678,672430
3715,incumbent,4725,677661,672936
3716,mall,13890,677601,663711
3717,rubbish,2418,677518,675100
3718,comforts,2272,677441,675169
3719,feeds,5511,677192,671681
3720,optic,10215,677127,666912
3721,canning,103681,677121,573440
3722,fringe,8269,677105,668836
3723,assemble,315446,677072,361626
3724,retrieval,26003,677032,651029
3725,gardener,5761,676959,671198
3726,illustrating,7050,676910,669860
3727,forbes,79653,676889,597236
3728,cousins,363160,676884,313724
3729,lore,42876,676803,633927
3730,especial,59167,676772,617605
3731,idolatry,1581,676628,675047
3732,stricken,2331,676595,674264
3733,indulged,1121,676507,675386
3734,profess,18488,676464,657976
3735,prizes,4295,676320,672025
3736,stirling,37367,676291,638924
3737,appraisal,20967,676154,655187
3738,sutton,41147,676141,634994
3739,supplemented,8140,676014,667874
3740,tyme,3851,676012,672161
3741,earls,2956,675879,672923
3742,columbus,29632,675861,646229
3743,contended,5544,675854,670310
3744,xxx,429832,675847,246015
3745,holt,63013,675799,612786
3746,efficiently,5905,675732,669827
3747,portsmouth,73174,675717,602543
3748,cylinders,5717,675507,669790
3749,sects,4556,675468,670912
3750,402,317381,675468,358087
3751,kneeling,1355,675345,673990
3752,occurrences,246444,675319,428875
3753,coinage,11790,675308,663518
3754,frustrated,2969,675272,672303
3755,pricing,19282,675177,655895
3756,jove,22088,675077,652989
3757,bulgaria,30152,675021,644869
3758,bids,3690,674984,671294
3759,ventral,129239,674904,545665
3760,analyst,11256,674873,663617
3761,policeman,14483,674869,660386
3762,wrongs,3001,674663,671662
3763,brutus,220830,674596,453766
3764,tangent,148189,674331,526142
3765,grinding,6009,674200,668191
3766,chooses,4446,674138,669692
3767,adherence,383510,674098,290588
3768,adolescent,531121,674035,142914
3769,392,307592,673832,366240
3770,muttered,348,673765,673417
3771,magnificence,471734,673640,201906
3772,ana,191857,673447,481590
3773,ronald,125989,673424,547435
3774,worthless,1963,673380,671417
3775,dealers,16915,673350,656435
3776,timothy,26928,673303,646375
3777,generator,11334,673219,661885
3778,irrespective,9003,673176,664173
3779,manganese,555517,673175,117658
3780,winston,105942,673060,567118
3781,amazed,1286,672981,671695
3782,denies,20241,672923,652682
3783,condensed,8295,672685,664390
3784,interact,5802,672684,666882
3785,ich,587762,672673,84911
3786,crusade,7785,672484,664699
3787,toy,64599,672393,607794
3788,intervene,8145,672055,663910
3789,sd,91206,672031,580825
3790,warden,18443,671955,653512
3791,axial,85248,671788,586540
3792,repeal,5545,671756,666211
3793,425,368029,671677,303648
3794,portal,44618,671439,626821
3795,chronicles,8520,671243,662723
3796,ornamented,1635,671182,669547
3797,rosa,324190,671133,346943
3798,fork,7077,671118,664041
3799,viscosity,11274,670892,659618
3800,malaysia,33756,670750,636994
3801,utilized,9598,670709,661111
3802,genoa,5580,670655,665075
3803,coating,9530,670654,661124
3804,infinity,6317,670548,664231
3805,lorenzo,182895,670544,487649
3806,resisting,4058,670404,666346
3807,uganda,79622,670351,590729
3808,bradley,80050,670279,590229
3809,intricate,4347,670147,665800
3810,completing,4726,670070,665344
3811,drought,10441,669954,659513
3812,degraded,4018,669695,665677
3813,projections,572121,669461,97340
3814,bene,267964,669366,401402
3815,butcher,8515,669207,660692
3816,408,327696,669120,341424
3817,twins,7947,669070,661123
3818,administrator,14122,668939,654817
3819,beats,13519,668790,655271
3820,meridian,10112,668759,658647
3821,escaping,2913,668601,665688
3822,laborious,2253,668599,666346
3823,pillow,7002,668340,661338
3824,sentenced,5076,668329,663253
3825,1816,731816,668320,63496
3826,collectively,4785,668242,663457
3827,dial,40726,668232,627506
3828,buck,46359,668167,621808
3829,cleavage,9572,668126,658554
3830,corporal,12079,668077,655998
3831,suffrage,1308735,668023,640712
3832,1810,913927,667973,245954
3833,merchandise,10896,667748,656852
3834,1792,1236020,667683,568337
3835,fungi,20487,667674,647187
3836,childish,1629,667567,665938
3837,proclaim,2958,667474,664516
3838,ita,414297,667446,253149
3839,crane,1252350,667417,584933
